,,Author,"Author Description",Date,Rating,"Helpful count",Review,"Picture included",Language,"Message Original","Language code","Reviewer Data","Profile Url","Review Url",Photos,"Message Translated"
30,,"claudia correa",,"2025-04-16 17:26:20",5,0,,no,,,,,https://www.google.com/maps/contrib/109441655209590157759?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHE3c3BRRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxq7spQE%7C%7C?hl=en,,
31,,"Juanka Molina Torres","3 reviews","2025-04-16 17:26:41",5,0,"Me parece que es de las mejores IPS que conozco sino es la mejor, muy buena atención y tras de que es buena le llevan a uno los medicamentos hasta la puerta de la casa que en ningún lado lo hacen o si lo hacen le cobran a uno por eso me parece que neurum es la mejor . Excelente servicio",no,Spanish,"Me parece que es de las mejores IPS que conozco sino es la mejor, muy buena atención y tras de que es buena le llevan a uno los medicamentos hasta la puerta de la casa que en ningún lado lo hacen o si lo hacen le cobran a uno por eso me parece que neurum es la mejor . Excelente servicio",Spanish,"3 reviews",https://www.google.com/maps/contrib/101202714154706257067?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHE3OV9RRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxq79_QE%7C%7C?hl=en,,
32,,"Miguel Antonio Santana",,"2025-04-16 17:27:38",5,0,,no,,,,,https://www.google.com/maps/contrib/116007798102416666224?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHA3RVhBEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxp7EXA%7C%7C?hl=en,,
33,,"William Fernando Cabarcas Lopez","1 review","2025-04-16 17:30:53",5,0,,no,,,,"1 review",https://www.google.com/maps/contrib/118370720755139964353?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHNHd3hRRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxsGwxQE%7C%7C?hl=en,,
34,,"sirley Giraldo",,"2025-04-16 17:32:04",5,0,,no,,,,,https://www.google.com/maps/contrib/105618265504178074986?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHVISVpnEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxuHIZg%7C%7C?hl=en,,
35,,"Santiago Castaño","2 reviews","2025-04-16 17:40:32",5,0,🔝,no,,🔝,,"2 reviews",https://www.google.com/maps/contrib/103973605255823737151?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHNYYVRREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxsXaTQ%7C%7C?hl=en,,
36,,"Juan felipe Uribe rios",,"2025-04-16 17:41:13",5,0,,no,,,,,https://www.google.com/maps/contrib/110222306501247315259?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHFXaEpREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxqWhJQ%7C%7C?hl=en,,
37,,"Diego Esteban","3 reviews","2025-04-16 17:44:22",5,0,"Me parece excelente que brinden los medicamentos a domicilio hasta la casa.
Son muy cumplidos. Muy buen servicio 👏🏻",no,Spanish,"Me parece excelente que brinden los medicamentos a domicilio hasta la casa.
Son muy cumplidos. Muy buen servicio 👏🏻",Spanish,"3 reviews",https://www.google.com/maps/contrib/111649055726936597857?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHZYTjV3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxvXN5wE%7C%7C?hl=en,,
38,,"Monica Rojas",,"2025-04-16 18:02:48",5,0,,no,,,,,https://www.google.com/maps/contrib/106544466548056862156?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHZld3l3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoxvewywE%7C%7C?hl=en,,
39,,"Kelly Hernandez","1 review","2025-04-16 18:08:45",5,0,"Me encanta esta IPS ,  me llegan mis medicamentos a mi casa , el transporte y su personal con muy amables y eficientes, gracias por tan buen servicio 😊",no,Spanish,"Me encanta esta IPS ,  me llegan mis medicamentos a mi casa , el transporte y su personal con muy amables y eficientes, gracias por tan buen servicio 😊",Spanish,"1 review",https://www.google.com/maps/contrib/116850992253319279427?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvcHNDTTJ3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCopsCM2wE%7C%7C?hl=en,,
40,,Yens,"6 reviews","2025-04-16 18:11:15",5,0,,no,,,,"6 reviews",https://www.google.com/maps/contrib/100474327654673040315?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvcHBEN0tREAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCoppD7KQ%7C%7C?hl=en,,
41,,"nataly montoya",,"2025-04-16 18:16:49",5,0,,no,,,,,https://www.google.com/maps/contrib/102571623059365408863?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvcHRpOWp3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCopti9jwE%7C%7C?hl=en,,
42,,"Duvasum Montero",,"2025-04-16 18:27:33",5,0,,no,,,,,https://www.google.com/maps/contrib/102496886381019360041?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvcHR5NC13RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCopty4-wE%7C%7C?hl=en,,
43,,"Wilmar Medina Toro","Local Guide · 34 reviews","2025-04-16 19:02:09",5,0,"La mejor atención que puedes recibir🤩",no,Spanish,"La mejor atención que puedes recibir🤩",Spanish,"Local Guide · 34 reviews",https://www.google.com/maps/contrib/106861735659208597151?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvcHUzOWtBRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCopu39kAE%7C%7C?hl=en,,
44,,"jahir miranda","Local Guide · 31 reviews","2025-04-16 19:19:38",5,0,,no,,,,"Local Guide · 31 reviews",https://www.google.com/maps/contrib/110735749245157180411?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvcHJfX3F3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCopr__qwE%7C%7C?hl=en,,
45,,"Amelia Arcila","3 reviews","2025-04-16 20:07:44",5,0,"Excelentes profesionales",no,Spanish,"Excelentes profesionales",Spanish,"3 reviews",https://www.google.com/maps/contrib/108825931661209431687?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvNXVXZnV3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMCo5uWfuwE%7C%7C?hl=en,,
46,,"Yelly Velasquez","4 reviews","2025-04-28 13:58:16",1,0,"Hola buenos días deberían de mejorar el servicio de comunicación es demaciado difícil conseguir una cita telefónica y por WhatsApp no contestan.",no,Spanish,"Hola buenos días deberían de mejorar el servicio de comunicación es demaciado difícil conseguir una cita telefónica y por WhatsApp no contestan.",Spanish,"4 reviews",https://www.google.com/maps/contrib/110206392101668100463?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvMDRqMml3RRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEICAgMDo04j2iwE%7C%7C?hl=en,,
47,,"Mariano Cardona","1 review","2025-05-06 19:07:20",1,0,"Hace 8 dias estoy pidiendo una cita con especialista y no me contestan ni al telefono ni al wassap ni al correo.",no,Spanish,"Hace 8 dias estoy pidiendo una cita con especialista y no me contestan ni al telefono ni al wassap ni al correo.",Spanish,"1 review",https://www.google.com/maps/contrib/100578929440584894206?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQRGZ3ZXpHdlpQYUF3EAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEPDfwezGvZPaAw%7C%7C?hl=en,,
48,,"Beatriz Galvis","1 review","2025-05-08 21:23:26",3,0,"No ha sido posible la comunicación, ni por WhatsApp, ni por las líneas telefónicas para una cita de revisión con la doctora Margarita Martes",no,Spanish,"No ha sido posible la comunicación, ni por WhatsApp, ni por las líneas telefónicas para una cita de revisión con la doctora Margarita Martes",Spanish,"1 review",https://www.google.com/maps/contrib/108516555582259619860?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VPdk14X3JxeUxleFR3EAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKEOvMx_rqyLexTw%7C%7C?hl=en,,
49,,"Yolanda Carmona","2 reviews","2025-05-14 16:59:25",1,0,"La verdad no ha sido la mejor dos horas de retraso en una cita con especialista es demasiado es una falta de respeto",no,Spanish,"La verdad no ha sido la mejor dos horas de retraso en una cita con especialista es demasiado es una falta de respeto",Spanish,"2 reviews",https://www.google.com/maps/contrib/113959537685968807649?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOblRfNEN2cHN5U1pnEAE!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CIHM0ogKENnT_4CvpsySZg%7C%7C?hl=en,,
50,,"carlos alberto gomez garcia","Local Guide · 11 reviews","2025-06-18 21:33:38",1,0,"Nunca contestan",no,Spanish,"Nunca contestan",Spanish,"Local Guide · 11 reviews",https://www.google.com/maps/contrib/104157976841086992148?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGdldVOXJYeTA0YkVWb1puUXdYMUJDV0VZeVpHYxAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CAIQACodChtycF9oOkFvWU9rXy04bEVoZnQwX1BCWEYyZGc%7C%7C?hl=en,,
51,,"Jose David Bedoya Molina","3 reviews","2025-07-24 16:15:33",1,0,"No contestan ni por teléfono, ni por WhatsApp, ya hay muchas quejas sobre esto y parece que les vale madres.",no,Spanish,"No contestan ni por teléfono, ni por WhatsApp, ya hay muchas quejas sobre esto y parece que les vale madres.",Spanish,"3 reviews",https://www.google.com/maps/contrib/111178625296054071251?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aMmVWVmlWa0pCV0ZwR1NtVjRjMVZDVDNseVExRRAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CAIQACodChtycF9oOmZ2eVViVkJBWFpGSmV4c1VCT3lyQ1E%7C%7C?hl=en,,
52,,"Julissa Estrada","1 review","2025-07-25 07:02:12",1,0,"Conseguir una cita de control es casi imposible, ni con pqrs ante SURA lo he logrado.",no,Spanish,"Conseguir una cita de control es casi imposible, ni con pqrs ante SURA lo he logrado.",Spanish,"1 review",https://www.google.com/maps/contrib/102279106026559784020?hl=en,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205SlQxUnBNVVl3Ym5rMmJVUm1hVm94VW5ORVNHYxAB!2m1!1s0x0:0x83f1475e83c8e336!3m1!1s2@1:CAIQACodChtycF9oOm9JT1RpMUYwbnk2bURmaVoxUnNESGc%7C%7C?hl=en,,
